report_number,classification,date,latitude,longitude
1801,Class A,1967-07-29,47.95614,-116.7787
3292,Class A,1973-08-24,45.08334,-115.75
4741,Class A,1969-08-16,44.91666,-116.0833
4987,Class A,1990-10-31,44.85,-116.4
5720,Class A,1963-06-15,42.79166,-116.25
6391,Class A,1974-06-15,45.9978,-116.9156
6929,Class A,1981-07-07,44.75,-115.9167
6983,Class A,1975-10-01,44.25028,-114.7503
7870,Class A,1996-10-01,44.41666,-115.5833
8251,Class A,1985-10-25,45.08334,-115.75
10012,Class A,1988-12-03,47.70965,-116.9266
10510,Class A,1969-10-18,48.1143,-116.0558
11070,Class A,2005-05-09,44.0925,-112.455
12158,Class A,1979-02-17,44.58335,-116.0834
12913,Class A,2005-07-01,46.8102,-116.8368
13692,Class A,1988-08-20,43.4082,-114.8281
16527,Class A,2006-11-04,43.41005,-111.7899
20802,Class A,1985-08-15,48.255,-116.1475
20884,Class A,2007-08-09,42.21834,-114.2634
22651,Class A,2001-09-03,46.94,-115.586
23521,Class A,1996-05-30,47.509,-115.9965
25156,Class A,1980-10-28,48.6334,-116.934
26487,Class A,1993-10-31,48.49805,-116.4171
28709,Class A,1982-09-11,42.5149,-111.1241
29357,Class A,2009-06-13,44.28265,-115.8714
57248,Class A,2011-02-15,46.97822,-116.923
57970,Class A,2007-07-01,44.95277,-116.0542
59472,Class A,2006-08-07,47.02242,-116.0518
63250,Class A,2007-07-15,44.0555,-112.9954
69141,Class A,2011-08-10,47.61893,-116.2617
202,Class A,1998-05-15,39.2949,-90.608
2805,Class A,1975-12-15,38.98,-89.136
3474,Class A,1989-10-15,37.34339,-88.71672
3521,Class A,2000-11-15,40.4664,-91.0007
4099,Class A,2004-11-26,40.8139,-91.0863
8696,Class A,1999-09-15,41.30412,-89.9595
10037,Class A,2004-12-22,41.7798,-89.689
10197,Class A,1992-09-14,39.06,-89.558
10535,Class A,2004-07-08,38.92241,-90.16171
10892,Class A,1980-04-12,40.5332,-90.0594
10910,Class A,1989-10-14,38.68707,-89.09732
11273,Class A,1979-08-17,37.91,-88.929
11831,Class A,2005-06-02,41.3368,-88.562
11911,Class A,1983-07-23,41.295,-88.595
12140,Class A,1979-06-09,41.33,-88.55
12439,Class A,2005-06-10,41.3368,-88.562
12984,Class A,1968-09-28,42.1295,-88.1577
14404,Class A,2003-09-06,40.34057,-87.47077
14872,Class A,2006-06-08,38.4763,-89.54485
15007,Class A,2004-09-11,40.316,-90.459
15251,Class A,1995-12-15,39.853,-89.5
15347,Class A,2003-10-26,42.21,-89.85
19910,Class A,1994-10-22,42.1846,-89.022
23104,Class A,2006-10-05,39.781,-88.867
23395,Class A,2006-10-16,38.946,-89.582
23418,Class A,1994-07-04,39.06,-89.98351
23949,Class A,2008-05-03,40.9452,-90.9009
24147,Class A,1969-09-01,41.55965,-90.40675
24354,Class A,2007-11-16,39.607,-90.64
24544,Class A,1999-10-02,37.289,-88.9963
24997,Class A,2007-10-27,38.567,-89.341
25267,Class A,1980-12-24,38.72226,-89.80125
25273,Class A,2008-11-08,39.26776,-89.48787
25809,Class A,2009-04-08,38.9951,-90.1451
26905,Class A,1973-05-13,41.16124,-87.58124
27374,Class A,1986-11-29,41.2285,-89.3211
28110,Class A,2009-06-27,40.19732,-88.724
28423,Class A,1972-10-29,39.93521,-89.88871
28429,Class A,2007-10-27,40.82944,-89.73378
28484,Class A,2006-07-22,39.57463,-90.24173
28516,Class A,1978-10-21,38.7774,-90.012
28533,Class A,2005-11-19,39.6548,-90.18651
28534,Class A,2006-08-26,39.53747,-90.17564
28545,Class A,1976-09-18,39.7721,-89.4691
28568,Class A,2010-10-17,40.5658,-90.0055
28703,Class A,2008-09-28,39.5075,-89.3469
28714,Class A,1969-08-09,40.62288,-89.99328
28728,Class A,2010-11-16,41.84136,-87.83285
28899,Class A,2008-05-05,39.5075,-89.3469
28936,Class A,2009-06-24,41.33018,-88.53889
28940,Class A,2011-02-24,41.29663,-88.60814
29165,Class A,2011-04-15,37.60075,-88.38197
29265,Class A,2008-05-23,39.02341,-90.40184
29287,Class A,2000-04-07,41.7584,-90.0795
30003,Class A,2011-07-18,41.42396,-88.71103
30203,Class A,2004-10-30,40.14471,-89.41959
30367,Class A,1964-11-07,39.8213,-88.1676
30896,Class A,2011-10-20,41.4209,-88.706
31858,Class A,2011-12-19,38.71682,-87.68468
31968,Class A,1985-01-12,40.59904,-89.88347
32162,Class A,1973-06-09,40.98073,-90.18332
32400,Class A,2008-09-13,42.18476,-88.29926
32616,Class A,2012-01-05,41.61575,-88.4586
33638,Class A,1991-11-16,38.51689,-90.16501
33859,Class A,1987-07-11,41.42741,-88.71402
34728,Class A,1996-10-12,39.84874,-89.55229
35427,Class A,2012-05-14,38.1038,-88.99181
36246,Class A,2011-10-10,37.18404,-89.36896
36306,Class A,2011-03-05,37.71917,-89.48784
36406,Class A,2012-08-09,40.45273,-90.79664
36667,Class A,1986-01-01,41.30374,-88.95451
37522,Class A,1980-11-08,39.8732,-88.9813
37697,Class A,1993-11-20,39.37753,-90.04582
37856,Class A,2010-10-19,38.37945,-87.79079
38395,Class A,2012-12-20,41.53346,-87.75156
39267,Class A,2012-03-06,37.71917,-89.48784
40075,Class A,2013-02-26,40.67577,-89.60034
40457,Class A,2000-01-09,40.25679,-90.59952
41318,Class A,1975-10-11,40.26916,-88.1033
41718,Class A,2013-06-22,39.91682,-90.95499
41916,Class A,1978-04-21,37.68485,-89.49155
42140,Class A,2009-10-10,41.40762,-87.60593
42794,Class A,1998-09-28,39.2372,-88.61966
46494,Class A,1967-08-15,41.9586,-87.8574
47649,Class A,2005-07-15,40.625,-90.3832
55224,Class A,1996-06-29,38.43189,-89.87113
57303,Class A,2000-05-18,38.33912,-89.35323
6094,Class A,1973-09-08,40.18,-86.1512
8438,Class A,2003-10-11,41.3382,-85.7037
9245,Class A,2005-01-22,41.062,-86.5945
9642,Class A,2005-01-21,39.3579,-85.61
10153,Class A,2005-01-23,39.365,-85.8486
10538,Class A,1973-07-10,40.0403,-86.1084
10678,Class A,1999-06-12,39.4862,-86.161
13242,Class A,2002-05-11,39.38,-86.11
14336,Class A,1937-08-16,38.01,-87.3203
19588,Class A,1997-10-01,39.8679,-87.23335
21821,Class A,1979-11-01,39.01166,-86.57665
24815,Class A,1988-11-30,39.32117,-86.46065
25189,Class A,1981-06-15,38.12318,-86.64338
25454,Class A,1984-08-01,39.17295,-84.971
25793,Class A,1997-08-01,38.6899,-86.25349
26587,Class A,1975-07-15,40.54919,-85.69739
28803,Class A,1997-11-01,40.8179,-85.3532
29032,Class A,1977-06-15,39.45697,-85.5481
35236,Class A,2012-05-01,39.2065,-86.22125
49467,Class A,2008-09-20,37.83837,-87.13843
564,Class A,1996-05-01,37.81005,-94.72448
1311,Class A,1980-07-20,39.1489,-96.9614
1312,Class A,1978-02-23,37.0504,-95.0802
1314,Class A,1998-10-15,38.6234,-94.6837
1315,Class A,2001-01-18,39.1463,-96.8223
1325,Class A,1978-07-10,37.52947,-97.60829
1326,Class A,1975-11-15,37.64103,-97.40294
1330,Class A,1960-01-01,39.33292,-95.84024
1332,Class A,1977-11-25,37.192,-95.7455
2033,Class A,2005-01-26,38.9142,-95.2577
7709,Class A,2005-01-27,37.0581,-97.3374
10660,Class A,1974-11-09,38.3908,-95.6491
12067,Class A,1978-07-08,39.072,-95.747
25860,Class A,2009-08-10,38.62563,-96.44296
32256,Class A,2011-05-05,39.7273,-97.34005
35828,Class A,2012-06-29,37.56279,-98.42924
38440,Class A,2012-10-15,39.2305,-95.44415
40035,Class A,2003-11-15,37.3444,-97.1953
43843,Class A,2011-04-01,37.40504,-97.4572
63795,Class A,1994-11-04,38.53062,-89.89167
317,Class A,1990-04-15,36.8207,-88.41175
912,Class A,1978-08-15,37.7764,-83.67952
1024,Class A,1953-10-01,37.3181,-84.92358
1045,Class A,2005-01-09,37.95708,-84.97527
1265,Class A,2001-01-04,38.53187,-82.7989
1488,Class A,1999-09-15,37.94235,-82.88309
2155,Class A,2004-04-21,37.77591,-82.74628
2363,Class A,1993-01-20,36.9372,-88.9949
2364,Class A,1958-12-31,36.7999,-83.66641
2367,Class A,1997-10-01,37.34029,-87.89844
2368,Class A,1993-07-01,37.53705,-84.2552
2381,Class A,1976-08-01,37.89508,-84.1989
2382,Class A,1980-10-11,38.45795,-83.9311
2383,Class A,1978-09-30,38.44148,-85.0016
2390,Class A,1972-10-01,36.89478,-87.02245
2391,Class A,1991-07-01,37.05575,-86.98705
2425,Class A,1980-10-07,38.51465,-83.83695
2426,Class A,1980-11-05,38.63454,-83.80266
2428,Class A,1973-08-01,37.57039,-84.28714
2430,Class A,1977-07-01,37.37814,-83.25562
2435,Class A,1994-10-15,37.26532,-82.69576
3253,Class A,1998-08-15,38.42968,-82.64877
5678,Class A,1950-07-01,37.83777,-82.43635
5881,Class A,2003-02-20,36.66257,-84.33998
6210,Class A,2005-02-05,38.56277,-83.32354
7023,Class A,2005-02-09,38.02825,-82.83425
8517,Class A,2004-04-20,37.82708,-83.81139
8715,Class A,2005-02-02,38.528,-84.588
10556,Class A,1981-02-02,36.9265,-83.0452
11966,Class A,2003-07-03,38.02653,-82.83278
11998,Class A,1996-11-15,37.75972,-87.96917
12641,Class A,1996-10-15,36.82806,-88.15556
13289,Class A,2005-07-15,36.75139,-87.89472
18174,Class A,2005-07-20,37.0787,-83.95846
18297,Class A,1991-04-15,37.06226,-83.9769
21142,Class A,1990-10-15,37.29395,-87.52757
22981,Class A,2006-07-12,37.6095,-87.344
23293,Class A,1982-10-15,36.67311,-83.85683
24131,Class A,2006-12-22,37.49582,-83.89224
24674,Class A,2008-06-14,38.05703,-83.46259
24800,Class A,1994-07-15,38.90649,-84.67017
25242,Class A,1983-09-15,37.75745,-84.10435
26173,Class A,2007-08-15,36.68937,-86.45915
26605,Class A,1972-09-30,37.81144,-83.08006
27024,Class A,2007-05-01,37.64966,-87.01657
27551,Class A,2009-08-31,37.55156,-84.50035
27941,Class A,1994-04-18,37.42701,-82.48093
27955,Class A,1982-11-15,38.12912,-84.94009
28575,Class A,2005-04-15,37.47975,-82.5183
30198,Class A,1983-08-01,38.1078,-82.73412
30673,Class A,2007-09-15,37.96027,-86.11702
31368,Class A,2011-09-15,39.08002,-84.79574
33187,Class A,2011-11-15,37.97699,-84.90234
33322,Class A,2010-08-15,36.8216,-87.93167
34725,Class A,2003-08-16,38.06181,-82.69125
38122,Class A,2012-12-08,38.2592,-83.41507
38980,Class A,2013-01-10,36.83193,-83.42429
40278,Class A,2006-12-09,37.00633,-83.56467
51739,Class A,1990-09-09,38.31738,-82.51773
71854,Class A,2008-10-15,37.32355,-84.26856
514,Class A,2000-10-23,30.1878,-90.8493
1313,Class A,1987-11-15,32.7817,-93.9467
1458,Class A,2000-04-05,31.6825,-92.3104
1459,Class A,1978-07-15,31.3799,-92.37835
1460,Class A,1977-07-15,31.1375,-92.4976
1461,Class A,1981-06-01,31.3058,-92.4054
1501,Class A,1977-11-15,32.8057,-92.40895
1502,Class A,1979-07-15,31.1458,-93.2512
1536,Class A,2000-11-18,31.6825,-92.3104
1537,Class A,1996-12-06,31.4871,-92.3309
3631,Class A,1993-03-05,31.6498,-93.0887
3777,Class A,2000-08-22,31.4676,-92.2508
5609,Class A,1985-07-01,31.3904,-92.3495
6530,Class A,1982-06-05,30.49905,-91.01565
7236,Class A,1980-07-05,31.14195,-93.2952
7715,Class A,1972-10-14,30.2576,-92.6221
9567,Class A,2003-11-12,31.5831,-93.50845
13350,Class A,2005-12-22,32.0199,-92.914
23227,Class A,1971-11-12,32.895,-93.45
23745,Class A,1980-06-15,32.0131,-91.14448
26124,Class A,1980-10-15,31.40304,-92.46844
56107,Class A,1970-05-15,29.5385,-90.593
8717,Class A,1977-12-17,42.6688,-71.9023
23732,Class A,2008-05-15,42.01496,-71.58914
26277,Class A,2010-07-06,41.74419,-70.95906
44263,Class A,2013-06-25,42.09091,-71.42092
27702,Class A,2010-08-15,39.08414,-76.82731
31814,Class A,1993-09-15,39.67183,-76.34047
810,Class A,1997-11-15,43.74,-84.58583
815,Class A,1987-08-15,43.26806,-82.53083
1811,Class A,1977-09-15,43.59611,-84.42722
2787,Class A,1991-08-01,46.61183,-87.73236
2830,Class A,1972-11-15,43.79834,-84.2114
2953,Class A,2001-08-07,42.30472,-83.60472
4325,Class A,1990-10-20,43.5975,-84.66833
4414,Class A,2002-05-26,42.39472,-85.60028
4502,Class A,2002-06-12,43.235,-85.34194
4613,Class A,1980-08-12,44.4355,-84.7602
5280,Class A,2002-11-07,42.86361,-86.16861
5321,Class A,1999-02-15,43.41444,-83.18583
5652,Class A,1965-07-15,43.94111,-83.27139
7096,Class A,1996-07-14,46.47182,-87.42407
7399,Class A,1977-05-15,41.93,-84.35389
7408,Class A,2003-11-15,43.92736,-83.92834
8389,Class A,2004-03-27,42.40611,-83.58
9872,Class A,1998-08-10,44.51436,-85.82096
10151,Class A,1974-09-16,42.323,-85.05965
10904,Class A,2003-11-17,44.36434,-84.05358
15187,Class A,2006-04-11,41.9773,-84.7802
15479,Class A,1999-04-14,44.29188,-84.72922
19938,Class A,1971-07-15,46.5244,-88.16701
20002,Class A,1965-07-01,46.01398,-87.98718
20100,Class A,1990-10-01,46.09045,-87.48289
20173,Class A,1979-06-01,45.91515,-84.87524
20202,Class A,1982-10-01,45.9642,-87.3289
20423,Class A,1979-10-18,42.3125,-84.7378
20457,Class A,1977-01-01,46.34575,-85.95865
21271,Class A,1986-07-01,46.56725,-85.589
21792,Class A,2008-10-22,44.41835,-84.40335
22802,Class A,2008-10-06,43.21,-85.41
22973,Class A,1993-06-07,46.3126,-86.5228
23481,Class A,1978-07-01,42.68505,-84.04025
23530,Class A,1973-05-01,44.7,-84.71
23929,Class A,1970-09-01,46.56913,-88.28403
24127,Class A,2002-09-15,46.18968,-85.97613
24238,Class A,1962-04-01,45.964,-86.1437
24776,Class A,1985-05-15,44.62845,-85.86292
24854,Class A,2008-10-16,45.1475,-84.425
24868,Class A,2008-10-12,44.76,-84.12485
25031,Class A,2008-11-18,44.565,-83.845
25298,Class A,2009-07-16,44.17335,-84.6
25622,Class A,1997-10-01,44.5256,-84.06493
25651,Class A,1996-10-01,43.87,-84.355
26245,Class A,1986-09-01,43.45135,-85.12935
26372,Class A,1983-08-15,43.1095,-84.9825
27009,Class A,2010-07-26,44.94835,-84.165
27783,Class A,2010-10-09,44.59665,-84.0415
28373,Class A,2011-02-21,46.37165,-84.91665
28668,Class A,2011-05-23,44.76665,-85.00165
29091,Class A,2009-07-17,45.35665,-84.605
29178,Class A,1980-11-16,42.068,-84.22701
29409,Class A,1967-05-17,45.40985,-83.85985
29615,Class A,2011-06-29,44.525,-85.075
29675,Class A,1997-10-13,45.87165,-87.02158
30090,Class A,2009-11-15,44.22671,-86.10172
30753,Class A,2011-11-05,45,-85
30902,Class A,2002-11-15,46.60424,-87.46171
31025,Class A,2010-08-15,46.19183,-86.21193
31444,Class A,1978-07-15,41.871,-84.2995
31603,Class A,2011-07-15,43.674,-86.4565
33611,Class A,2003-07-15,45.351,-83.4885
35282,Class A,2009-05-04,44.1305,-85.2165
35387,Class A,2012-07-15,44.0559,-85.92196
37553,Class A,1974-03-15,42.225,-85.6885
40204,Class A,2013-04-11,44.2725,-83.89001
43798,Class A,1984-10-01,44.38367,-86.19037
45572,Class A,2000-10-21,44.50587,-85.51546
4379,Class A,2002-05-19,43.80075,-92.36145
9012,Class A,2004-07-17,47.27147,-93.02428
13049,Class A,2005-10-08,43.80075,-92.36145
16566,Class A,2006-11-10,47.5754,-92.53
17551,Class A,2000-02-21,45.1836,-93.06226
25323,Class A,1992-08-15,46.50385,-95.11484
25336,Class A,2010-12-04,47.43842,-94.98708
28711,Class A,1970-11-01,47.52522,-93.25262
31166,Class A,2009-08-16,47.5,-93
43975,Class A,2012-09-03,47.4284,-92.01759
69601,Class A,1999-09-15,47.49753,-93.61481
496,Class A,1977-08-15,37.8597,-91.432
1099,Class A,1986-06-15,38.04414,-92.97639
1118,Class A,1997-06-15,39.8397,-91.6533
1120,Class A,1971-06-01,36.6,-91.2
1135,Class A,1991-03-31,39.29007,-91.09014
1136,Class A,1972-07-15,39.3735,-91.093
1138,Class A,1989-02-15,37.82861,-92.20055
1141,Class A,1982-07-15,38.0944,-93.5577
1148,Class A,1977-08-15,37.9939,-93.8794
1150,Class A,2000-05-31,37.8602,-90.0329
1158,Class A,1956-10-15,38.039,-90.7517
1356,Class A,1976-08-01,38.655,-90.675
2036,Class A,1988-06-01,37.07354,-93.13545
2180,Class A,1977-09-01,37.11433,-93.71506
3483,Class A,1975-10-15,38.81124,-92.59781
4421,Class A,1982-05-15,37.714,-92.173
5085,Class A,2004-12-05,36.615,-92.425
5286,Class A,2002-08-09,37.0968,-93.4303
5552,Class A,2004-11-20,38.3085,-92.8254
6194,Class A,2003-04-11,38.28,-91.6253
7766,Class A,2004-11-21,39.7557,-92.9282
8890,Class A,2004-12-05,38.305,-92.411
9502,Class A,2004-12-05,37.3317,-93.614
9840,Class A,2004-12-06,36.8133,-93.8232
9941,Class A,2004-12-06,38.62,-91.96238
10927,Class A,2005-10-15,38.69428,-90.52987
12470,Class A,1997-07-19,37.117,-93.894
12528,Class A,1998-04-25,36.66708,-90.9525
15075,Class A,1975-07-15,36.67065,-93.65774
15610,Class A,1960-08-15,36.00565,-89.67815
16294,Class A,1999-04-15,38.22635,-90.39488
18219,Class A,2007-07-17,39.859,-94.856
18278,Class A,1994-11-11,37.286,-89.6075
18442,Class A,1986-08-14,36.94109,-92.7622
19695,Class A,2007-04-15,37.664,-93.684
22448,Class A,1969-07-16,37.236,-89.55949
23686,Class A,2005-11-18,37.87153,-93.82087
23836,Class A,1976-10-20,38.73802,-90.53249
24404,Class A,1967-07-30,36.97061,-92.09264
24879,Class A,2005-08-25,37.79465,-90.79886
26962,Class A,1961-10-15,36.06055,-89.98725
27089,Class A,2009-10-15,38.2081,-91.16042
27125,Class A,2008-01-20,38.9099,-92.36771
27410,Class A,1986-01-14,36.87593,-89.86899
27785,Class A,2010-06-22,37.03575,-94.52888
28080,Class A,1983-10-25,38.21285,-90.66216
28210,Class A,2010-09-12,36.51627,-94.60989
28689,Class A,1999-06-30,38.56724,-92.07335
29980,Class A,1980-10-27,36.8109,-92.3046
30573,Class A,1991-10-19,39.04035,-94.16049
31201,Class A,2011-11-22,37.85524,-94.11218
36572,Class A,2012-09-18,37.84203,-94.6028
36761,Class A,1971-11-17,37.39315,-91.3012
36838,Class A,2012-10-15,37.40025,-90.23058
40087,Class A,1982-11-15,37.02496,-92.11988
40306,Class A,2013-03-08,38.5229,-94.19245
41012,Class A,2013-04-27,39.30745,-94.59565
41395,Class A,2013-06-07,38.5992,-94.1057
41427,Class A,1994-08-23,36.66887,-93.29459
43612,Class A,1979-08-01,40.39956,-94.02478
44283,Class A,1973-06-13,38.437,-92.408
56937,Class A,2012-05-16,36.469,-91.154
58092,Class A,2000-05-01,38.93704,-92.32704
59071,Class A,2013-07-15,37.422,-91.578
59450,Class A,2012-05-19,39.2475,-94.271
62297,Class A,1976-04-10,37.718,-90.177
62813,Class A,1996-06-08,39.3875,-94.43649
62930,Class A,2003-07-11,39.1175,-93.4025
65277,Class A,1988-12-14,38.397,-94.332
65278,Class A,1989-10-13,38.3905,-94.352
1338,Class A,1973-01-01,31.1603,-90.71574
1339,Class A,1950-01-01,33.10925,-89.59135
1341,Class A,1975-07-01,30.2464,-89.6111
1342,Class A,1977-04-30,32.3372,-88.74805
1344,Class A,1978-08-06,33.50025,-88.40335
1345,Class A,1997-10-16,34.31605,-89.845
4681,Class A,1975-08-14,32.2714,-88.7496
4767,Class A,2005-01-13,30.97675,-89.0338
8732,Class A,2005-01-30,33.56555,-90.8022
12122,Class A,1979-11-28,31.39275,-91.08505
12290,Class A,2004-06-15,32.1806,-88.864
13494,Class A,2006-01-05,34.60905,-88.19894
13918,Class A,1987-10-10,32.036,-88.77015
14144,Class A,1987-10-10,32.036,-88.77015
27012,Class A,1979-10-10,32.40191,-90.19371
1454,Class A,1993-06-03,45.22417,-111.125
1517,Class A,1982-10-02,48.36139,-113.1236
1519,Class A,1982-06-30,47.04333,-112.7031
1530,Class A,1977-08-16,46.76472,-111.8861
1614,Class A,1977-07-14,46.97694,-113.8381
1693,Class A,1989-05-20,46.01833,-110.3308
1695,Class A,1979-12-31,47.70667,-104.1922
2995,Class A,2001-08-22,45.66722,-110.8069
5627,Class A,1994-07-12,46.83285,-112.702
6170,Class A,2004-01-18,47.12806,-111.9094
8999,Class A,2004-03-14,47.62167,-115.3903
9873,Class A,2004-07-20,47.06032,-114.0717
13383,Class A,1991-10-11,46.02962,-113.1198
17292,Class A,2007-01-15,45.0262,-106.8331
21839,Class A,2005-09-20,45.82285,-114.0125
25662,Class A,2007-08-15,45.9754,-112.4554
33257,Class A,2011-01-08,47.66724,-108.6873
36281,Class A,2010-05-29,46.76389,-110.7781
40524,Class A,2012-06-24,45.3705,-112.9707
1939,Class A,1965-10-01,34.6894,-77.2914
3332,Class A,1983-04-15,35.33975,-82.443
3333,Class A,1973-10-01,35.2483,-83.28265
3335,Class A,1982-10-01,36.3715,-76.29115
3337,Class A,1994-11-30,35.2256,-80.26915
3439,Class A,1971-10-01,36.09945,-80.7704
4676,Class A,2002-07-14,35.5311,-78.4048
6267,Class A,1976-11-15,35.18637,-78.63611
7246,Class A,1983-11-15,36.21335,-78.09365
7393,Class A,1977-08-15,35.91965,-80.6282
8804,Class A,1997-11-15,36.31625,-79.03025
8983,Class A,2004-06-12,35.4449,-80.0616
9750,Class A,1999-07-16,34.53784,-77.50434
10608,Class A,1972-11-18,35.6267,-81.5917
13492,Class A,2005-07-05,35.892,-82.829
13663,Class A,1989-11-11,35.998,-76.946
14801,Class A,1991-03-15,35.451,-82.287
15108,Class A,1991-11-17,35.618,-82.321
15492,Class A,1990-06-30,35.30773,-79.75644
18516,Class A,2007-04-09,35.75,-80.375
24334,Class A,2005-02-10,34.40434,-77.23759
26076,Class A,1979-07-18,36.0089,-77.90525
27908,Class A,1978-08-24,36.31126,-81.30889
29024,Class A,2010-11-09,35.88561,-81.92929
30735,Class A,1995-10-14,35.18083,-79.21278
30757,Class A,2009-09-30,35.85107,-82.05008
30860,Class A,2011-08-21,35.75278,-82.22121
31303,Class A,1983-10-02,34.50917,-77.53445
31994,Class A,2009-07-20,35.41939,-82.56715
41508,Class A,2013-06-12,35.94647,-81.03185
42999,Class A,2011-11-19,34.78052,-77.85507
58022,Class A,2011-09-10,35.1685,-82.488
751,Class A,2000-04-21,48.25422,-101.3166
8165,Class A,2004-02-22,47.72964,-102.701
12562,Class A,2005-08-27,47.71188,-101.8886
1149,Class A,1974-09-30,40.1399,-96.7432
1152,Class A,1979-09-15,42.76609,-97.97573
1155,Class A,1980-06-30,40.84792,-96.6824
7809,Class A,2005-01-06,41.134,-95.88
12482,Class A,2005-08-13,41.238,-95.92
15615,Class A,2008-08-15,41.55099,-98.22576
25012,Class A,1957-09-18,42.87331,-100.5501
25241,Class A,1996-07-05,42.5893,-103.398
2271,Class A,2005-12-11,40.478,-74.4611
2750,Class A,2004-04-23,40.7446,-74.6215
10046,Class A,1971-10-16,40.8959,-74.2918
10918,Class A,2005-12-10,41.08335,-74.321
11168,Class A,2005-12-10,40.16465,-74.68135
12065,Class A,2005-12-10,40.9934,-74.3249
13515,Class A,2006-03-09,39.7962,-74.3749
14143,Class A,1998-07-15,39.60835,-74.43445
16308,Class A,2006-10-18,40.16471,-3706646
16701,Class A,1997-11-15,41.14652,-74.59959
17550,Class A,2007-03-31,40.8192,-74.85561
22905,Class A,1977-06-03,40.18478,-74.72261
29139,Class A,2013-02-15,41.01941,-74.57013
29336,Class A,1977-07-09,41.13498,-74.80315
40462,Class A,2012-12-29,39.70852,-75.38251
63569,Class A,2008-07-25,40.45815,-74.77675
66051,Class A,1981-09-04,40.18113,-74.09944
1918,Class A,2001-08-06,33.27735,-105.7395
4538,Class A,2002-06-15,36.126,-108.87
8409,Class A,1983-05-07,35.98475,-106.8803
10114,Class A,2004-07-26,33.15405,-105.7947
10266,Class A,2002-09-17,35.63736,-108.8676
10349,Class A,2005-01-23,36.9934,-104.4801
11109,Class A,2005-01-10,36.72065,-107.3956
11526,Class A,2004-12-15,36.7474,-107.6021
11589,Class A,2003-10-19,36.39135,-109.0612
12542,Class A,2002-03-16,36.81315,-108.7608
12994,Class A,2005-11-03,35.58565,-107.9978
26414,Class A,2009-05-12,36.08089,-108.892
28886,Class A,2011-02-20,36.65339,-105.9678
28964,Class A,2011-03-07,35.37201,-108.2034
34460,Class A,2011-07-16,36.0605,-108.84
66089,Class A,1986-12-24,33.82819,-106.9285
3455,Class A,1980-09-15,39.29056,-119.6564
5697,Class A,1972-08-15,39.679,-119.6665
5909,Class A,1984-09-15,39.00056,-119.8458
22386,Class A,2004-10-15,37.8583,-118.325
1450,Class A,1999-09-13,42.32724,-76.75318
7368,Class A,2006-10-07,42.6153,-77.4028
8953,Class A,2003-03-01,42.36176,-75.0116
10136,Class A,2001-10-22,42.1174,-75.64853
10289,Class A,1996-08-15,44.26646,-74.14589
11688,Class A,2003-01-15,43.34806,-78.23962
11726,Class A,1998-02-01,42.09785,-77.93121
11841,Class A,1980-08-21,41.5036,-73.7171
12388,Class A,2004-05-31,42.32921,-75.3811
12709,Class A,2002-09-21,43.19501,-78.54224
13288,Class A,2004-10-15,42.15947,-78.82683
13662,Class A,1980-04-21,42.28045,-77.60525
13874,Class A,1973-08-01,42.56379,-74.8865
18122,Class A,1997-04-15,43.22649,-78.3253
26205,Class A,2010-02-15,41.94512,-73.87915
26566,Class A,2003-09-20,43.27314,-76.89331
31940,Class A,2010-09-01,41.29873,-73.73717
63279,Class A,2013-07-23,42.06832,-78.7492
63832,Class A,1994-09-14,41.26455,-74.1468
64192,Class A,2010-08-06,44.22388,-73.87529
68932,Class A,2012-11-15,42.33473,-77.29253
359,Class A,2000-08-01,40.98596,-81.11642
7059,Class B,2003-10-31,34.39,-93.23111
374,Class A,1977-02-01,39.88653,-81.27132
378,Class A,2000-07-11,39.58157,-82.36887
841,Class A,1982-11-01,40.24354,-84.18491
878,Class A,1989-08-15,40.15002,-83.02854
1117,Class A,2000-12-28,41.72134,-80.88494
1507,Class A,1981-11-01,40.36957,-80.77387
1625,Class A,1977-06-01,40.38609,-82.69884
1750,Class A,1993-09-15,39.92104,-83.95184
1751,Class A,1998-10-15,39.85461,-83.94906
1755,Class A,2000-10-15,39.86096,-83.96562
1756,Class A,2000-11-24,39.89216,-83.96123
1851,Class A,2001-02-24,40.77789,-81.25768
2450,Class A,1978-06-01,39.78594,-82.29162
2696,Class A,1982-06-15,40.70386,-80.58332
2850,Class A,1995-02-15,40.74065,-81.35575
2902,Class A,1998-05-24,41.2625,-84.38103
3080,Class A,1997-05-01,40.27488,-81.51749
3180,Class A,1978-07-04,39.40877,-81.73172
3248,Class A,2001-10-26,41.39803,-81.33974
3293,Class A,1978-01-01,40.4764,-82.80257
3301,Class A,1980-08-15,41.47349,-81.3726
3315,Class A,2002-05-26,38.73687,-83.39134
3351,Class A,1987-03-15,40.73412,-84.06565
3380,Class A,1991-09-15,40.82327,-82.32803
3381,Class A,1997-07-03,40.59935,-82.23988
3651,Class A,1962-06-06,41.30265,-81.30896
3686,Class A,1998-05-25,38.79833,-82.54968
3767,Class A,1998-09-03,38.79381,-82.55177
3920,Class A,1980-10-31,39.39935,-82.52238
4073,Class A,1984-07-04,39.46019,-81.54855
4176,Class A,1999-04-26,38.83859,-83.28128
4200,Class A,1991-07-01,41.81835,-80.93665
4202,Class A,1994-09-01,39.45789,-82.24257
4306,Class A,1980-06-01,40.76533,-80.55217
