report_number,classification,date,latitude,longitude
62851,Class A,1978-05-15,33.66554,-93.56799
63860,Class A,1979-06-14,34.17376,-91.07266
63984,Class A,1990-06-17,33.387,-94.036
440,Class A,2000-10-10,31.99003,-110.1835
3482,Class A,2000-12-24,34.90831,-110.8403
6552,Class A,2001-06-17,36.09081,-109.4276
7495,Class A,1983-12-30,34.4,-111.5
7566,Class A,1993-09-04,33.6247,-109.3191
8685,Class A,1981-11-07,36.54165,-109.29
11514,Class A,1990-07-01,35.656,-111.938
16580,Class A,2006-10-26,34.325,-109.64
17448,Class A,2007-01-22,32.815,-109.675
17804,Class A,2007-02-01,34.6,-109.44
18723,Class A,1995-07-15,33.85,-111.69
19339,Class A,2006-10-15,33.99989,-110.4298
23136,Class A,2008-07-29,33.3785,-112.6432
23358,Class A,2006-11-17,34.28939,-111.1367
24405,Class A,1973-12-20,35.241,-111.8634
27495,Class A,2010-03-24,34.1,-110.165
28946,Class A,1981-08-15,34.55154,-112.5421
29358,Class A,2011-05-31,34,-110
42364,Class A,1992-08-15,32.95,-112.73
83,Class A,1988-10-01,37.35944,-119.6436
147,Class A,2000-06-15,38.93333,-119.9833
353,Class A,2000-09-23,38.9575,-120.0914
528,Class A,1957-06-01,40.80222,-124.1625
615,Class A,1997-11-15,38.28085,-119.836
849,Class A,1968-11-01,40.33556,-121.9139
865,Class A,1997-12-18,37.23389,-119.2119
868,Class A,1994-06-01,38.17677,-119.9065
875,Class A,1974-06-01,41.41,-120.6781
913,Class A,2000-07-01,38.93,-120.205
919,Class A,1996-04-10,38.93333,-119.9833
1055,Class A,1993-04-01,38.86,-120.1358
1068,Class A,1995-10-29,37.35861,-118.9975
1090,Class A,1978-08-01,38.06615,-120.1877
1229,Class A,1955-08-01,36.10222,-118.8489
1301,Class A,1978-07-30,38.19753,-119.9811
1391,Class A,1999-03-04,41.45833,-122.4306
1473,Class A,1966-09-01,41.42806,-122.3839
1510,Class A,1977-07-01,38.04806,-119.2642
1653,Class A,1978-10-01,40.63556,-122.7325
1919,Class A,1983-10-25,38.03898,-120.2339
2794,Class A,1987-05-31,36.05278,-118.1303
2886,Class A,1993-06-15,38.26661,-119.8633
2896,Class A,1944-08-01,41.82417,-122.9958
2928,Class A,2000-07-20,41.3657,-123.1317
3169,Class A,1991-01-01,38.25583,-122.5833
3421,Class A,1978-06-01,39.21278,-120.8908
3672,Class A,1998-08-01,37.91111,-119.2569
4446,Class A,1993-07-04,33.2675,-116.8625
4630,Class A,2001-06-15,41.21361,-122.2703
4946,Class A,1956-10-01,39.3225,-120.2653
6429,Class A,1994-09-15,40.92911,-121.6156
6521,Class A,1987-06-01,39.68833,-123.4817
6639,Class A,2003-07-20,38.85556,-120.0133
6746,Class A,1983-01-01,38.93333,-119.9833
6961,Class A,1963-08-01,40.26639,-123.8692
6963,Class A,1965-07-01,40.26639,-123.8692
7334,Class A,1993-04-01,36.2485,-121.495
7555,Class A,1977-08-01,40.8875,-122.3775
7731,Class A,1973-10-15,39.92778,-122.1781
7804,Class A,2004-01-04,39.26361,-121.0161
7860,Class A,1974-09-01,39.68833,-123.4817
8059,Class A,1966-09-01,39.22361,-123.7675
8487,Class A,1972-09-15,37.5703,-118.972
8595,Class A,2003-09-01,38.72139,-120.5836
9202,Class A,1965-07-01,39.205,-121.58
9283,Class A,1992-07-12,40.465,-124
9296,Class A,2001-10-25,37.23389,-119.2119
9357,Class A,2000-05-01,36.0438,-118.7402
9555,Class A,2004-08-16,39.31917,-120.3275
10980,Class A,2003-12-24,38.0312,-120.2434
11162,Class A,2004-10-01,37,-121.7
11496,Class A,1997-07-15,40.75,-122.1667
11576,Class A,1988-10-15,40.85,-123.55
11656,Class A,2004-11-01,38.90333,-120.6033
11897,Class A,1991-06-28,36.7818,-120.201
11986,Class A,2001-03-15,40.7974,-122.278
12247,Class A,1974-04-15,35.5565,-121.2919
12292,Class A,1986-06-15,36.3779,-121.7146
12294,Class A,1967-03-10,41.75,-123.35
12383,Class A,2005-08-21,38.3068,-119.5483
12649,Class A,1987-09-15,39.25396,-121.0517
12917,Class A,1979-10-25,41.65,-123.85
13419,Class A,2003-09-15,40.7485,-123.2718
13424,Class A,1993-12-15,41.75,-123.35
14407,Class A,1993-09-05,39.50435,-120.3784
14642,Class A,1982-08-09,40.6789,-122.8055
15821,Class A,2005-08-20,38.86165,-120.2201
5342,Class B,2002-10-30,35.8019,-92.943
15855,Class A,2006-06-17,37.58325,-118.9166
16342,Class A,2006-10-21,41.21385,-124.0687
18298,Class A,2007-04-18,40.7333,-122.6667
20197,Class A,1980-10-11,38.4906,-121.7138
21354,Class A,2007-09-11,41.8333,-123.1668
21674,Class A,2007-10-10,34.6167,-118.4333
22434,Class A,1998-08-03,41.28996,-123.056
22500,Class A,2007-12-15,39.83929,-123.2393
23768,Class A,2008-07-09,37.9333,-119
