time,shape,duration_hours_min,date,latitude,longitude
11:30:00 PM,changing,50 min,12/2/00,35.6125,-77.3666667
8:30:00 PM,circle,10 seconds,2/16/00,36.1016667,-78.4583333
1:30:00 AM,other,10 secs (approx),12/2/00,45.35,-72.516667
9:30:00 AM,oval,15seconds,12/2/00,44.32,-91.9147222
1:30:00 PM,cylinder,5 seconds,12/2/00,38.6880556,-83.6094444
5:00:00 PM,chevron,10 minutes,12/2/00,41.6647222,-72.6397222
7:00:00 PM,cone,7 seconds,12/2/00,43.4194444,-83.9508333
9:15:00 PM,formation,45 seconds,12/2/00,37.6391667,-120.9958333
12:00:00 AM,oval,6-8 sec,12/2/00,42.53003,-82.950156
9:54:00 AM,oval,6-8 seconds,12/2/00,42.53003,-82.950156
5:00:00 PM,circle,two hours,12/2/00,35.9488889,-85.0269444
8:30:00 PM,unknown,5 minutes,12/2/00,52.266213,-8.269886
12:00:00 AM,light,10-15 min,12/2/00,29.4238889,-98.4933333
2:30:00 AM,other,2 minutes,12/2/00,37.3394444,-121.8938889
4:30:00 AM,NULL,15 minutes,12/2/00,44.0247222,-88.5425
6:10:00 AM,triangle,2 seconds,12/2/00,37.4947222,-120.8455556
6:30:00 AM,light,45 desonds,12/2/00,40.3408333,-76.4116667
8:50:00 PM,triangle,30seconds,12/2/00,54.095,-0.208056
11:00:00 PM,diamond,2  minutes,12/20/00,47.1855556,-122.2916667
12:00:00 AM,circle,4 seconds,12/2/00,43.433333,-79.666667
12:00:00 AM,triangle,10 minutes,12/2/00,45.0847222,-93.0097222
6:50:00 AM,light,3 minutes,12/2/00,41.4813889,-73.2136111
2:00:00 PM,sphere,ten seconds,12/2/00,40.7280556,-74.0780556
5:30:00 PM,cigar,10 min each,12/2/00,46.2272222,-116.0283333
6:25:00 PM,light,3-4 minutes,12/2/00,36.3352778,-92.385
9:45:00 PM,light,3 seconds,12/2/00,47.6063889,-122.3308333
9:55:00 PM,sphere,2 seconds,12/2/00,47.6063889,-122.3308333
10:00:00 PM,egg,2-3 seconds,12/2/00,47.6063889,-122.3308333
10:25:00 PM,triangle,2 min.,12/2/00,45.209508,-123.228733
12:00:00 AM,other,2-3 min,12/2/00,40.883316,21.022196
12:00:00 AM,flash,28:53:00,12/2/00,43.666667,-79.416667
12:00:00 AM,circle,4 seconds,12/2/00,43.433333,-79.666667
6:45:00 AM,other,2 - 2 seconds,12/2/00,47.3811111,-122.2336111
7:15:00 PM,diamond,40 min ?,12/2/00,41.1383333,-81.8638889
8:25:00 PM,oval,less then 30 sec,12/2/00,39.6688889,-76.3797222
8:45:00 PM,triangle,10 min.,12/2/00,32.9477778,-112.7161111
10:30:00 PM,disk,4 minutes,12/2/00,43.666667,-79.416667
7:15:00 PM,fireball,5 seconds,12/2/00,42.325,-72.6416667
8:15:00 PM,fireball,15 mins,12/2/00,33.5805556,-112.2366667
8:30:00 PM,other,15 minutes,12/2/00,47.7361111,-122.6452778
8:30:00 PM,triangle,45 minutes,12/2/00,47.6063889,-122.3308333
9:05:00 PM,light,10 seconds,12/2/00,33.3794444,-108.9027778
3:30:00 AM,changing,3-5 minutes,12/2/00,33.5091667,-111.8983333
1:48:00 PM,other,45 seconds,12/9/00,30.1763889,-85.8055556
5:30:00 PM,other,1 minute,12/2/00,39.6447222,-94.7397222
8:45:00 PM,light,40 minutes,12/2/00,33.3702778,-112.5830556
9:30:00 PM,changing,5 minutes,12/20/00,30.605,-93.2316667
10:30:00 PM,triangle,10 seconds,12/2/00,40.4233333,-104.7086111
11:30:00 PM,light,8 hours,12/2/00,61.2180556,-149.9002778
3:00:00 AM,light,on and off for an hour or,12/2/00,29.4238889,-98.4933333
8:30:00 AM,fireball,30 sec,12/9/00,33.4483333,-112.0733333
10:30:00 AM,oval,30 seconds,12/2/00,47.6063889,-122.3308333
10:00:00 PM,flash,22:30,12/2/00,42.523645,-77.289064
12:00:00 AM,triangle,10 minutes,12/2/00,31.426299,-110.455256
10:30:00 AM,sphere,30 seconds,12/2/00,43.6613889,-70.2558333
6:15:00 PM,flash,about 10 seconds,12/2/00,48.7597222,-122.4869444
7:00:00 PM,changing,10 min,12/2/00,37.1041667,-113.5833333
7:30:00 PM,changing,5 minutes,12/2/00,44.725,-84.0511111
9:00:00 PM,triangle,45 minutes,12/2/00,41.7002778,-73.9213889
9:20:00 PM,circle,3 hours,12/2/00,43.7508333,-87.7144444
9:30:00 PM,circle,6 minutes,12/2/00,39.0991667,-76.8486111
12:00:00 AM,light,10 minutes,12/2/00,26.6155556,-80.0572222
1:30:00 AM,light,5 min,6/21/00,37.6447222,-115.7427778
11:10:00 AM,light,20 min.,12/2/00,41.2425,-82.6158333
5:00:00 PM,other,10-15 secs.,12/2/00,47.0380556,-122.8994444
5:20:00 PM,fireball,5 seconds,12/2/00,47.0530556,-122.2930556
5:30:00 PM,triangle,10 minutes,12/2/00,34.206818,-118.200028
6:30:00 PM,light,15min,12/2/00,33.3527778,-111.7883333
6:45:00 PM,light,3 minutes,12/2/00,48.187056,-122.507847
7:30:00 PM,light,5 minutes,12/2/00,41.1444444,-81.44
7:40:00 PM,light,1 hour,12/2/00,40.2452778,-75.65
8:00:00 PM,flash,90 seconds,12/2/00,48.4213889,-122.3327778
9:30:00 PM,light,18 min,12/2/00,38.3483333,-97.0169444
8:00:00 PM,oval,5 minutes,1/22/00,38.1394444,-90.555
7:30:00 AM,disk,3 minutes,1/7/00,40.4405556,-79.9961111
3:30:00 AM,fireball,< 2sec,12/2/00,49.9,-119.483333
12:30:00 PM,cone,4 hrs,12/2/00,46.5,-80.966667
4:20:00 AM,other,1 minute,12/2/00,32.7152778,-117.1563889
4:00:00 PM,cigar,5 minutes,12/2/00,45.2102778,-123.1975
6:00:00 PM,circle,12 hours,12/9/00,33.1383333,-95.6008333
7:00:00 PM,NULL,less than one minute,12/2/00,41.1016667,-80.7647222
9:12:00 PM,sphere,6 minutes,12/2/00,38.6786111,-121.7722222
9:12:00 PM,sphere,7-8 minutes,12/9/00,38.6786111,-121.7722222
5:45:00 PM,NULL,about 1 minute,5/11/00,41.85,-87.65
4:00:00 AM,disk,45 seconds,6/6/00,47.2530556,-122.4430556
10:24:00 PM,circle,25-34 secs,12/2/00,43.683333,-79.766667
6:00:00 PM,fireball,4 seconds,6/21/00,41.9238889,-89.0686111
4:30:00 PM,circle,one minute,12/2/00,38.7522222,-121.2869444
5:30:00 PM,disk,1 minute,12/2/00,46.1416667,-88.0938889
6:30:00 PM,light,1 minute,12/2/00,42.7325,-84.5555556
6:30:00 PM,light,5-10 sec.,12/2/00,40.0455556,-86.0086111
6:30:00 PM,other,60 seconds,12/2/00,42.5802778,-83.0302778
6:45:00 PM,fireball,11 seconds,12/2/00,42.6583333,-83.15
6:45:00 PM,light,6-10sec,12/2/00,42.4605556,-83.6516667
7:00:00 PM,unknown,20 seconds,12/2/00,41.3683333,-82.1077778
7:00:00 PM,light,:20 -:30 sec.,12/2/00,42.7533333,-84.7463889
7:00:00 PM,fireball,10-15 seconds,12/2/00,42.8263889,-84.2194444
7:00:00 PM,light,20 secs,12/20/00,43.866667,-79.033333
7:15:00 PM,egg,45 min.,12/2/00,41.24,-83.6433333
7:15:00 PM,egg,45 minutes,12/2/00,41.24,-83.6433333
7:30:00 PM,sphere,45secs,12/2/00,42.1,-83.1
9:00:00 PM,fireball,appr. 5 min.,6/21/00,33.4708333,-81.975
2:15:00 AM,disk,15 mins,12/2/00,27.7705556,-82.6794444
4:30:00 AM,unknown,1 minute,12/2/00,34.0522222,-118.2427778
12:15:00 PM,triangle,9min,12/2/00,47.1633333,-122.0255556
7:15:00 PM,changing,7sec.,12/2/00,37.6688889,-122.0797222
9:33:00 PM,formation,10-15 seconds,12/2/00,45.5,-73.583333
7:30:00 PM,sphere,twenty minutes,12/2/00,39.9522222,-75.1641667
1:57:00 AM,triangle,3 minutes,12/2/00,46.8772222,-96.7894444
2:33:00 PM,oval,15 seconds maybe,12/2/00,35.2269444,-80.8433333
5:00:00 PM,other,10 minutes,12/2/00,15.299327,74.123996
5:00:00 PM,triangle,seconds,12/2/00,41.8297222,-86.2541667
6:10:00 PM,disk,1or 2mins,12/2/00,39.1369444,-76.6986111
8:30:00 PM,light,about 15 minutes,12/2/00,43.6630556,-116.6863889
10:00:00 PM,unknown,10 minutes,12/2/00,46.0086111,-122.8433333
10:25:00 PM,other,30-45 sec.,12/2/00,32.3475,-97.3863889
10:47:00 PM,fireball,20 seconds,12/2/00,29.0558333,-95.4097222
7:00:00 PM,light,45 secs,3/16/00,44.9444444,-93.0930556
8:35:00 PM,triangle,5 seconds,1/7/00,44.7394444,-93.1255556
12:05:00 AM,other,15-20 minutes,12/2/00,47.9130556,-122.0969444
6:05:00 AM,changing,4hrs.,12/2/00,34.7488889,-112.1130556
7:45:00 PM,unknown,10 seconds,12/2/00,46.2113889,-119.1361111
10:50:00 AM,sphere,3-5 seconds,12/2/00,47.6063889,-122.3308333
1:45:00 PM,triangle,2-3 minutes,12/2/00,37.2152778,-93.2980556
4:45:00 PM,cone,5 mins,12/2/00,38.3397222,-122.7
8:25:00 PM,other,4 min,12/2/00,36.175,-115.1363889
10:30:00 PM,disk,4 hours,12/2/00,33.4222222,-111.8219444
1:15:00 AM,teardrop,30 sec,12/2/00,38.1041667,-122.2555556
2:45:00 AM,triangle,30 seconds,12/2/00,33.7222222,-116.3736111
3:00:00 PM,sphere,1 minute,12/2/00,42.983333,-81.25
10:00:00 PM,light,4-6 seconds,12/2/00,27.9655556,-82.8002778
10:00:00 PM,disk,15 minutes,12/2/00,29.7855556,-95.8241667
10:30:00 PM,circle,10 minutes,12/2/00,41.7108333,-87.7580556
11:30:00 PM,light,2 hours,12/2/00,41.663938,-83.555212
6:30:00 PM,disk,4 sec,7/23/00,34.2575,-88.7033333
6:00:00 PM,oval,5min.,4/15/00,39.0875,-81.9227778
9:30:00 PM,triangle,10 minutes,2/16/00,39.5358333,-76.3486111
12:30:00 AM,triangle,25-30 mins.,12/2/00,34.086941,-118.270204
1:00:00 AM,triangle,20:00,12/2/00,34.086941,-118.270204
1:10:00 AM,triangle,12 seconds,12/2/00,39.615501,-74.199545
5:45:00 AM,unknown,less 30 seconds,12/2/00,36.7472222,-95.9805556
2:00:00 PM,circle,1hour,12/2/00,37.6688889,-122.0797222
4:00:00 PM,formation,15 min,12/2/00,41.7,-71.4166667
4:45:00 PM,other,15 minutes,12/2/00,47.2530556,-122.4430556
6:00:00 PM,light,1 minute,12/2/00,40.7719444,-80.7683333
6:20:00 PM,other,5 minutes,12/2/00,42.0083333,-76.6241667
6:20:00 PM,other,6 minutes ? +,12/2/00,42.0083333,-76.6241667
8:00:00 PM,disk,30 min.,12/2/00,35.7452778,-81.685
10:30:00 PM,circle,15-20minutes,12/2/00,33.5386111,-112.1852778
11:50:00 PM,fireball,an hour&#44 maybe more.,12/2/00,32.068424,34.824785
9:00:00 AM,unknown,5minutes,12/2/00,33.7733333,-86.8138889
6:45:00 PM,teardrop,5 to 8 minutes,12/2/00,35.579392,-94.461373
10:24:00 PM,NULL,30 sec.,7/23/00,41.2913889,-87.4205556
9:15:00 AM,disk,4 minutes,1/22/00,36.0330556,-86.7827778
7:15:00 PM,oval,6 to 8 seconds,1/22/00,36.1333333,-96.3541667
8:30:00 PM,oval,15 mins,1/22/00,35.8680556,-83.5619444
9:30:00 PM,light,10 seconds,4/26/00,32.7152778,-117.1563889
7:13:00 AM,circle,about 30 sec.,4/15/00,29.4238889,-98.4933333
10:00:00 PM,disk,2 seconds,12/2/00,49.25,-123.133333
12:05:00 AM,unknown,5 mins,12/2/00,51.38847,-0.416969
12:20:00 AM,unknown,about 20 minutes,12/2/00,19.997453,73.789802
11:00:00 AM,cigar,1 hour,12/2/00,52.133333,-106.666667
4:50:00 PM,cigar,8.5 min,1/22/00,40.516431,-74.305047
8:20:00 PM,light,0:00:04,8/25/00,40.1044444,-74.9516667
10:45:00 AM,oval,10 seconds,12/2/00,40.0213889,-122.0991667
2:00:00 PM,circle,2-3 min,12/9/00,36.153982,-95.992775
2:35:00 PM,cylinder,10 minutes,12/2/00,28.1458333,-82.7569444
5:05:00 PM,light,25 minutes,12/2/00,44.0583333,-121.3141667
5:30:00 PM,circle,2-3minutes,12/2/00,44.0583333,-121.3141667
6:35:00 PM,light,15 seconds,12/2/00,38.7613889,-120.5855556
7:32:00 PM,other,2min.,12/2/00,39.7683333,-86.1580556
10:00:00 PM,unknown,1-3 min,3/7/00,42.2411111,-83.6130556
2:00:00 AM,circle,30secs,8/5/00,42.1625,-71.0416667
8:00:00 PM,sphere,2 minutes,12/2/00,40.9866667,-75.195
10:30:00 PM,sphere,2 seconds,9/17/00,33.0197222,-96.6986111
3:00:00 AM,triangle,10 min,2/27/00,41.9902778,-70.9755556
10:00:00 PM,light,5 min.&#39s,3/7/00,40.7141667,-74.0063889
6:22:00 AM,triangle,4 seconds,7/11/00,41.6833333,-86.25
8:00:00 PM,egg,about 3 minutes,1/22/00,38.5580556,-91.0119444
2:00:00 AM,triangle,10 minutes,1/22/00,41.8505556,-87.8819444
11:15:00 AM,NULL,5 seconds,1/22/00,38.6402778,-99.7458333
1:40:00 PM,other,<30 seconds,12/2/00,38.68,-93.0927778
6:30:00 PM,triangle,5 seconds,12/2/00,33.6411111,-117.9177778
7:30:00 PM,circle,10 mins,12/2/00,43.15,-79.5
8:00:00 PM,light,5-6 min,12/2/00,40.6975,-74.2636111
10:10:00 PM,fireball,4 seconds,1/22/00,39.7391667,-104.9841667
10:40:00 PM,oval,1.5-2.0,3/16/00,32.7152778,-117.1563889
10:56:00 PM,diamond,1 hour,12/2/00,33.6102778,-114.5955556
4:45:00 PM,circle,3-5 minutes,4/15/00,34.0625,-118.1219444
2:25:00 AM,triangle,2-3 minutes,4/1/00,42.8666667,-106.3125
9:30:00 PM,triangle,5 sec.,12/2/00,39.7047222,-105.0808333
10:40:00 PM,other,5 minutes,2/16/00,34.6086111,-98.39
5:00:00 PM,circle,15 min,12/2/00,44.192768,-78.057677
11:30:00 PM,light,10 mins,4/15/00,-19.135865,146.842356
6:20:00 AM,light,3-4 minutes,12/2/00,33.5386111,-112.1852778
2:00:00 PM,circle,5 seconds,12/2/00,28.5380556,-81.3794444
3:30:00 PM,changing,30 minutes,12/2/00,34.0522222,-118.2427778
5:00:00 PM,triangle,10min,12/2/00,51.25,0.75
9:45:00 PM,changing,15 seconds,12/2/00,40.9463889,-73.0697222
10:00:00 PM,fireball,3 seconds,12/2/00,40.5741667,-74.6102778
10:30:00 PM,fireball,over an hour,12/2/00,32.767829,-117.023084
11:15:00 PM,light,8 minutes,12/2/00,37.4136111,-79.1425
12:01:00 AM,egg,10 minutes,12/2/00,37.8316667,-122.1866667
6:30:00 PM,triangle,2 minutes,12/2/00,33.2147222,-97.1327778
7:15:00 PM,teardrop,15 minutes,12/2/00,32.0477778,-110.7113889
7:43:00 PM,changing,20 minutes,12/9/00,34.0522222,-118.2427778
7:45:00 PM,rectangle,5 minutes,12/2/00,33.9561111,-83.9880556
8:00:00 PM,oval,5 minutes,12/2/00,26.6402778,-81.8725
9:00:00 PM,rectangle,10-15 minutes,12/2/00,47.7575,-122.2427778
9:15:00 PM,delta,60 seconds,12/2/00,49.25,-122.95
9:15:00 PM,formation,minute,4/26/00,48.0097222,-122.5247222
9:30:00 PM,fireball,30 seconds,6/6/00,47.0380556,-122.8994444
2:00:00 AM,other,4+ hours,7/11/00,35.6008333,-82.5541667
3:45:00 PM,triangle,1 minute,12/9/00,51.934731,1.260297
6:30:00 PM,unknown,3 minutes,12/2/00,30.4088889,-89.435
8:15:00 PM,unknown,5 to 15 minutes,12/2/00,46.9966667,-120.5466667
8:25:00 PM,fireball,5 sec,12/2/00,30.1388889,-82.9519444
9:00:00 PM,chevron,7 min.,12/2/00,46.9966667,-120.5466667
9:00:00 PM,light,good 10 minutes,12/2/00,32.7152778,-117.1563889
12:00:00 AM,disk,several seconds,9/17/00,40.7141667,-74.0063889
3:40:00 PM,cylinder,10 mins,12/2/00,46.610455,-81.007383
10:00:00 PM,fireball,approx. 15 mins,7/23/00,41.9,-71.0902778
3:30:00 PM,diamond,40 min,12/2/00,18.991706,-99.087069
9:00:00 PM,light,5 seconds,12/2/00,41.7797222,-71.4377778
7:45:00 AM,cylinder,10-15 min,4/15/00,44.937483,-93.201
5:00:00 PM,triangle,3 minutes,12/2/00,42.8263889,-84.2194444
6:00:00 PM,flash,seconds,12/2/00,35.2155556,-94.2555556
7:00:00 PM,other,2 seconds,12/2/00,43.1283333,-73.8469444
8:00:00 PM,circle,1min/20sec,12/2/00,45.5236111,-122.675
8:30:00 PM,unknown,3-4 min,12/20/00,40.7936111,-74.1505556
2:00:00 AM,flash,1-2 minutes,1/22/00,41.5283333,-87.4236111
5:20:00 PM,fireball,25sec.,4/1/00,41.1383333,-81.8638889
6:05:00 PM,fireball,15 seconds,1/7/00,41.5997222,-90.9105556
6:05:00 PM,fireball,30-45 secs,3/16/00,42.7261111,-87.7827778
6:09:00 PM,fireball,30.sec,12/2/00,44.05,-79.45
7:00:00 PM,light,7 seconds,1/7/00,38.2541667,-85.7594444
7:02:00 PM,NULL,20 seconds,1/7/00,39.7588889,-84.1916667
7:04:00 PM,fireball,10 seconds,1/22/00,39.4352778,-84.2030556
7:04:00 PM,fireball,30 seconds?,6/6/00,39.0875,-81.9227778
7:05:00 PM,formation,10 seconds,12/2/00,43.316667,-79.8
7:05:00 PM,other,1.5 - 2 sec.,2/16/00,38.7358333,-85.38
7:08:00 PM,fireball,10 - 12 seconds,6/21/00,42.3369444,-83.2733333
7:08:00 PM,fireball,10 seconds,1/7/00,42.12,-85.5327778
7:10:00 PM,circle,10 /15 sec.,12/2/00,40.9194444,-84.0569444
7:10:00 PM,light,20 seconds,12/2/00,44.463555,-79.33529
7:10:00 PM,NULL,20 sec,12/2/00,43.666667,-79.416667
7:13:00 PM,fireball,15 sec,12/2/00,43.25,-79.833333
7:15:00 PM,egg,2-3 sec,12/2/00,41.4994444,-81.6955556
